ID,date,username,verdict
16254961768,2010-10-12,Будянский Валентин Евгеньевич,Возрождение таланта
8399246755,2019-05-07,Фергасова Дарья Богдановна,Приобретение магической силы
11061035204,2016-11-16,Босолаев Николай Андреевич,Обретение мира
13882089268,2022-08-16,Отюзский Евгений Валериевич,Победа в соревновании
14337208634,2006-06-22,Енакаев Вячеслав Андреевич,Новые возможности
9160964543,2003-05-13,Журонов Юрий Михаилович,Победа над тьмой внутри
10063812795,2013-10-17,Евлошин Пётр Иванович,error
12075098964,2006-11-08,Макшанов Денис Андреевич,Открытие новой реальности
11274533698,2014-10-13,Матвейцев Михаил Фёдорович,Изменение характера
7304934195,2021-09-07,Саакова Людмила Эдуардовна,Разрешение загадки
12619143182,2020-11-14,Неволин Степан Валериевич,Победа над судьбой
7186847387,2011-06-27,Гглосова Ева Петровна,Признание героем
13110357918,2022-11-15,Бурокова Евгения Кирилловна,Удачное путешествие
9555788355,2011-07-13,Тутубалина Яна Кирилловна,Возвращение домой
11539082201,2011-12-22,Апольцева Валерия Кирилловна,Признание героем
10092798497,2007-10-27,Никулкова Инна Эдуардовна,Рождение ребенка
11019852823,2020-06-22,Киличкин Юрий Антонович,Победа над тьмой
13535321150,2009-09-13,Велиев Герасим Георгиевич,Приключение начинается
11384739422,2023-10-13,Душанин Юрий Алексеевич,Победа над страхом
7230642246,2013-09-24,Брайцева Тамара Олеговна,Освобождение из плена
8179177237,2018-07-10,Тарнакова Кира Олеговна,Победа над страхом
12912805068,2023-05-18,Волочейкин Герасим Вадимович,Победа над тьмой внутри
14084065766,2012-07-14,Ницлавский Владимир Денисович,Покорение невидимого врага
11400979781,2010-09-26,Горюшкин Алексей Антонович,Победа над страхом
14045128579,2006-10-10,Луненкова Клавдия Никитична,Открытие новой реальности
10713165430,2019-08-14,Захрабов Георгий Игоревич,Открытие новой реальности
10228811572,2017-09-24,Синезова Мария Игоревна,Новое начало
9962796782,2003-08-21,Колпачева Тамара Сергеевна,Избавление от проклятия
14589024143,2003-05-11,Никишанов Владимир Викторович,Изменение прошлого
10785305243,2000-06-16,Козулин Ярослав Игоревич,Обретение мудрости
8059950414,2009-09-18,Доболина Мария Егоровна,Покорение тайного мира
9234945601,2020-09-13,Ликсонова Ева Михайловна,Победа над судьбой
13062855070,2018-06-11,Пришкин Василий Викторович,Освобождение из плена
10724822044,2001-06-25,Швабовская София Эдуардовна,Обретение вечной молодости
13802107574,2001-08-12,Хочанский Василий Алексеевич,Покорение тайного мира
11855389427,2022-11-13,Мундштуков Виталий Петрович,Победа над злом
10278419286,2023-12-18,Измалков Олег Михаилович,Обретение внутреннего покоя
8738846013,2000-06-20,Каохцина Алёна Вадимовна,Предсказание будущего
10497036733,2016-10-23,Алеканова Александра Петровна,Новые возможности
11899317985,2010-05-22,Дешуков Артур Алексеевич,Обретение баланса сил
11734101665,2007-10-10,Нициевский Артур Олегович,Помощь от незнакомца
11384957794,2023-08-14,Лорченков Николай Антонович,Обретение душевного спокойствия
11370163034,2008-09-26,Путяков Станислав Вадимович,Победа над тьмой
13493677852,2022-05-13,Русских Александр Василиевич,Изменение судьбы
10094096900,2022-11-28,Браилов Николай Иванович,Долгожданная встреча
8456666857,2010-05-21,Джамбова Тамара Николаевна,Разрешение семейной тайны
10332446090,2017-10-12,Бикмурдина Наталья Петровна,Победа над силами природы
10617113607,2009-11-28,Шамшина Маргарита Кирилловна,Новый старт
11592224945,2016-05-19,Пахошкина Елена Кирилловна,Признание своих способностей
